Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"What a time 🥹🥈💗","5827","940","23","3","13","https://www.tiktok.com/@ariana.ramsey/video/7409915543316303150"
"LETS GOOOOO 😍😍 FINAL TONIGHT LIVE @ 9PM PARIS TIME  3PM EST ","6054","668","34","2","7","https://www.tiktok.com/@ariana.ramsey/video/7409333589659110699"
"We made it thoughhh ","12300","671","45","13","19","https://www.tiktok.com/@ariana.ramsey/video/7409293651995544875"
"GAME DAY FIT!!! 😍","8120","638","10","6","12","https://www.tiktok.com/@ariana.ramsey/video/7408921459629903150"
"LETSS GOOO Semis August 30th @4am EST ON PEACOCK Finals August 31th @1PM EST ON PEACOCK","14200","1804","92","15","31","https://www.tiktok.com/@ariana.ramsey/video/7407835848470940974"
"GOOD LUCK THIS SEASON!! @Philadelphia Eagles 🦅💚","4285","490","15","2","4","https://www.tiktok.com/@ariana.ramsey/video/7406862506746039595"
"Paris outfits ✨💗 #outfits ","4374","205","17","2","1","https://www.tiktok.com/@ariana.ramsey/video/7406396154352635178"
"Crazy 🐷","4124","419","15","6","7","https://www.tiktok.com/@ariana.ramsey/video/7406334281120845102"
"Rugby 101 videos coming soon 😄 #rugby #rugbydemure","33300","8786","70","466","116","https://www.tiktok.com/@ariana.ramsey/video/7405400157728017707"
"Guys, I got all my really cute outfits for Paris! I’m so excited to go back and I LOVE @francesca’s they are so cuteeeee ##bestkingofprussiastores##kingofprussiamall","3978","171","5","0","11","https://www.tiktok.com/@ariana.ramsey/video/7405391678586113322"
"My favorite video ever","4573","488","12","0","11","https://www.tiktok.com/@ariana.ramsey/video/7405297773362433326"
"Hometown hero vibez or whatevvaaa 😜","3214","247","6","0","2","https://www.tiktok.com/@ariana.ramsey/video/7404945699374107946"
"@Uncrustables I LOVE YOU","4728","315","13","1","4","https://www.tiktok.com/@ariana.ramsey/video/7404559408795028779"
"I manifested this forreal 🥹✨💕🏉","10300","1797","19","2","17","https://www.tiktok.com/@ariana.ramsey/video/7404171575873916202"
"Where are the Emily in Paris collections??? @FashionNova @prettylittlething @Oh Polly @Meshki ","7333","308","14","1","5","https://www.tiktok.com/@ariana.ramsey/video/7403937742079561006"
"This is how I got into rugby and became an Olympian! I hope I can inspire you all to do something cool and out of your comfort zone because you never know where it will take you!","7390","993","25","14","40","https://www.tiktok.com/@ariana.ramsey/video/7403838243210448174"
"Hey yall I miss yall already 😣😭 ","8781","1224","33","2","16","https://www.tiktok.com/@ariana.ramsey/video/7403526607362723114"
"You know im giving all the BTS 🍿✨🎥🤩 This was so much fun!! Hollywood has a way of making you feel like a true Celeb ✨","8943","785","32","8","19","https://www.tiktok.com/@ariana.ramsey/video/7403041068981292334"
"Home sweet home I guess 🥲","77500","4933","142","26","113","https://www.tiktok.com/@ariana.ramsey/video/7402376768100781354"
